source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,ALL,ALL-LO,exp-LO,CHI-LO,exp-LOOM,CHI-LOOM,exp-offC,CHI-offC,exp-allC,CHI-allC
S02000260,S02000260,21,20,5,32,-16,-1,11,78,57,24,-0.7,33,1.4,14,-2.5,45,-1.2
S02000260,S02000262,5,3,6,25,1,-2,20,39,34,12,-2.1,17,-2.1,7,-0.5,22,1.8
S02000260,S02000264,20,5,11,70,-9,-15,50,106,86,33,-2.3,45,-3,20,-1.9,61,2.6
S02000260,S02000268,4,0,5,12,1,-4,8,21,17,7,-1,9,-1.7,4,0.6,12,1.4
S02000260,S02000269,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000260,S02000270,9,4,34,17,25,-5,8,64,55,20,-2.4,27,-2.7,12,6.4,37,2.3
S02000260,S02000271,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000260,S02000275,6,0,0,4,-6,-6,-2,10,4,3,1.6,4,0.8,2,-1.4,6,-0.7
S02000260,S02000276,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000260,S02000277,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000260,S02000278,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000260,S02000279,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000260,S02000280,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000260,S02000281,15,5,0,19,-15,-10,4,39,24,12,0.8,17,0.8,7,-2.7,22,-0.7
S02000260,S02000287,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000260,S02000324,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000260,S02000328,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000260,S02000597,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000260,S02000603,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000260,S02000607,7,0,0,0,-7,-7,-7,7,0,2,3.3,3,2.3,1,-1.1,4,-2
S02000260,S02000611,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000260,S02000615,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000260,S02000627,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000260,S02000628,6,0,0,0,-6,-6,-6,6,0,2,3,3,2.2,1,-1.1,3,-1.9
S02000260,S02000630,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000260,S02000633,5,3,0,7,-5,-2,2,15,10,5,0.2,6,0.6,3,-1.7,9,-0.6
S02000260,S02000634,13,0,3,4,-10,-13,-9,20,7,6,2.7,9,1.5,4,-0.4,11,-1.3
S02000260,S02000635,3,0,0,5,-3,-3,2,8,5,2,0.3,3,-0.2,1,-1.2,5,0.2
S02000260,S02000640,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000260,S02000642,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000260,S02000644,0,0,5,0,5,0,0,5,5,2,-1.2,2,-1.5,1,4.2,3,1.3
S02000260,S02000649,0,0,4,0,4,0,0,4,4,1,-1.1,2,-1.3,1,3.8,2,1.1
S02000260,S02000651,3,0,5,9,2,-3,6,17,14,5,-1,7,-1.6,3,1,10,1.4
S02000260,S02000655,50,13,130,54,80,-37,4,247,197,77,-3.1,105,-4.1,46,12.5,142,3.5
S02000260,S02000656,0,10,0,0,0,10,0,10,10,3,-1.8,4,2.8,2,-1.4,6,-2.4
S02000260,S02000658,88,8,13,60,-75,-80,-28,169,81,53,4.9,72,2.8,31,-3.3,97,-2.4
S02000260,S02000659,0,0,5,4,5,0,4,9,9,3,-1.7,4,-2,2,2.6,5,1.7
S02000260,S02000660,9,5,0,0,-9,-4,-9,14,5,4,2.2,6,3.3,3,-1.6,8,-2.8
S02000260,S02000661,4,4,7,4,3,0,0,19,15,6,-0.8,8,0,4,1.9,11,0
S02000260,S02000663,0,3,4,7,4,3,7,14,14,4,-2.1,6,-1.2,3,0.9,8,1
S02000260,S02000664,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
