origin,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp
S02000260,S02000260,21,20,5,32,-16,-1,11
S02000260,S02000261,0,0,0,0,0,0,0
S02000260,S02000262,5,3,6,25,1,-2,20
S02000260,S02000263,0,0,0,0,0,0,0
S02000260,S02000264,20,5,11,70,-9,-15,50
S02000260,S02000266,0,0,0,0,0,0,0
S02000260,S02000267,0,0,0,0,0,0,0
S02000260,S02000268,4,0,5,12,1,-4,8
S02000260,S02000269,0,0,0,4,0,0,4
S02000260,S02000270,9,4,34,17,25,-5,8
S02000260,S02000271,3,0,0,0,-3,-3,-3
S02000260,S02000274,0,0,0,0,0,0,0
S02000260,S02000275,6,0,0,4,-6,-6,-2
S02000260,S02000276,3,0,0,0,-3,-3,-3
S02000260,S02000277,0,0,0,3,0,0,3
S02000260,S02000278,0,0,0,4,0,0,4
S02000260,S02000279,0,0,0,3,0,0,3
S02000260,S02000280,0,0,0,3,0,0,3
S02000260,S02000281,15,5,0,19,-15,-10,4
S02000260,S02000282,0,0,0,0,0,0,0
S02000260,S02000283,0,0,0,0,0,0,0
S02000260,S02000284,0,0,0,0,0,0,0
S02000260,S02000285,0,0,0,0,0,0,0
S02000260,S02000286,0,0,0,0,0,0,0
S02000260,S02000287,0,0,0,6,0,0,6
S02000260,S02000313,0,0,0,0,0,0,0
S02000260,S02000323,0,0,0,0,0,0,0
S02000260,S02000324,0,0,0,5,0,0,5
S02000260,S02000328,3,0,0,0,-3,-3,-3
S02000260,S02000584,0,0,0,0,0,0,0
S02000260,S02000588,0,0,0,0,0,0,0
S02000260,S02000590,0,0,0,0,0,0,0
S02000260,S02000591,0,0,0,0,0,0,0
S02000260,S02000597,0,0,0,3,0,0,3
S02000260,S02000599,0,0,0,0,0,0,0
S02000260,S02000601,0,0,0,0,0,0,0
S02000260,S02000602,0,0,0,0,0,0,0
S02000260,S02000603,0,0,0,3,0,0,3
S02000260,S02000604,0,0,0,0,0,0,0
S02000260,S02000607,7,0,0,0,-7,-7,-7
S02000260,S02000608,0,0,0,0,0,0,0
S02000260,S02000609,0,0,0,0,0,0,0
S02000260,S02000610,0,0,0,0,0,0,0
S02000260,S02000611,0,4,0,0,0,4,0
S02000260,S02000612,0,0,0,0,0,0,0
S02000260,S02000615,0,3,0,0,0,3,0
S02000260,S02000616,0,0,0,0,0,0,0
S02000260,S02000619,0,0,0,0,0,0,0
S02000260,S02000622,0,0,0,0,0,0,0
S02000260,S02000623,0,0,0,0,0,0,0
S02000260,S02000624,0,0,0,0,0,0,0
S02000260,S02000625,0,0,0,0,0,0,0
S02000260,S02000626,0,0,0,0,0,0,0
S02000260,S02000627,0,0,0,4,0,0,4
S02000260,S02000628,6,0,0,0,-6,-6,-6
S02000260,S02000629,0,0,0,0,0,0,0
S02000260,S02000630,0,0,0,4,0,0,4
S02000260,S02000631,0,0,0,0,0,0,0
S02000260,S02000632,0,0,0,0,0,0,0
S02000260,S02000633,5,3,0,7,-5,-2,2
S02000260,S02000634,13,0,3,4,-10,-13,-9
S02000260,S02000635,3,0,0,5,-3,-3,2
S02000260,S02000636,0,0,0,0,0,0,0
S02000260,S02000638,0,0,0,0,0,0,0
S02000260,S02000639,0,0,0,0,0,0,0
S02000260,S02000640,0,0,0,5,0,0,5
S02000260,S02000642,0,0,3,0,3,0,0
S02000260,S02000643,0,0,0,0,0,0,0
S02000260,S02000644,0,0,5,0,5,0,0
S02000260,S02000645,0,0,0,0,0,0,0
S02000260,S02000646,0,0,0,0,0,0,0
S02000260,S02000648,0,0,0,0,0,0,0
S02000260,S02000649,0,0,4,0,4,0,0
S02000260,S02000651,3,0,5,9,2,-3,6
S02000260,S02000654,0,0,0,0,0,0,0
S02000260,S02000655,50,13,130,54,80,-37,4
S02000260,S02000656,0,10,0,0,0,10,0
S02000260,S02000657,0,0,0,0,0,0,0
S02000260,S02000658,88,8,13,60,-75,-80,-28
S02000260,S02000659,0,0,5,4,5,0,4
S02000260,S02000660,9,5,0,0,-9,-4,-9
