source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000005,S12000005,2650,2016,665,3284,-1985,-634,634,8615,2884.7,-234.7,-4.37
S12000005,S12000010,5,3,0,6,-5,-2,1,14,4.7,0.3,0.14
S12000005,S12000014,661,370,184,519,-477,-291,-142,1734,580.6,80.4,3.34
S12000005,S12000015,357,209,132,245,-225,-148,-112,943,315.8,41.2,2.32
S12000005,S12000017,5,5,0,3,-5,0,-2,13,4.4,0.6,0.31
S12000005,S12000019,14,3,13,9,-1,-11,-5,39,13.1,0.9,0.26
S12000005,S12000021,0,0,3,0,3,0,0,3,1.0,-1.0,-1.00
S12000005,S12000024,117,70,21,158,-96,-47,41,366,122.6,-5.6,-0.50
S12000005,S12000027,0,5,0,0,0,5,0,5,1.7,-1.7,-1.29
S12000005,S12000028,6,0,0,0,-6,-6,-6,6,2.0,4.0,2.82
S12000005,S12000029,31,43,13,12,-18,12,-19,99,33.1,-2.1,-0.37
S12000005,S12000030,1817,785,939,2144,-878,-1032,327,5685,1903.6,-86.6,-1.98
S12000005,S12000033,4,10,13,5,9,6,1,32,10.7,-6.7,-2.05
S12000005,S12000034,3,0,4,6,1,-3,3,13,4.4,-1.4,-0.65
S12000005,S12000035,41,5,6,0,-35,-36,-41,52,17.4,23.6,5.65
S12000005,S12000036,213,105,255,135,42,-108,-78,708,237.1,-24.1,-1.56
S12000005,S12000038,15,21,14,7,-1,6,-8,57,19.1,-4.1,-0.94
S12000005,S12000039,16,6,0,0,-16,-10,-16,22,7.4,8.6,3.18
S12000005,S12000040,75,83,56,73,-19,8,-2,287,96.1,-21.1,-2.15
S12000005,S12000041,7,3,0,4,-7,-4,-3,14,4.7,2.3,1.07
S12000005,S12000042,17,13,11,17,-6,-4,0,58,19.4,-2.4,-0.55
S12000005,S12000044,97,106,30,80,-67,9,-17,313,104.8,-7.8,-0.76
S12000005,S12000045,10,10,8,7,-2,0,-3,35,11.7,-1.7,-0.50
S12000005,S12000046,157,98,160,126,3,-59,-31,541,181.1,-24.1,-1.79
S12000006,S12000005,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000006,S12000006,18076,8458,4278,17234,-13798,-9618,-842,48046,16087.8,1988.2,15.68
S12000006,S12000008,58,108,12,35,-46,50,-23,213,71.3,-13.3,-1.58
S12000006,S12000010,0,0,5,3,5,0,3,8,2.7,-2.7,-1.64
S12000006,S12000014,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000006,S12000015,22,0,3,0,-19,-22,-22,25,8.4,13.6,4.71
S12000006,S12000017,13,0,0,9,-13,-13,-4,22,7.4,5.6,2.08
S12000006,S12000018,3,0,0,3,-3,-3,0,6,2.0,1.0,0.70
S12000006,S12000019,12,4,0,0,-12,-8,-12,16,5.4,6.6,2.87
S12000006,S12000020,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000006,S12000021,20,16,5,33,-15,-4,13,74,24.8,-4.8,-0.96
S12000006,S12000024,3,4,0,3,-3,1,0,10,3.3,-0.3,-0.19
S12000006,S12000026,30,29,7,36,-23,-1,6,102,34.2,-4.2,-0.71
S12000006,S12000028,72,51,11,61,-61,-21,-11,195,65.3,6.7,0.83
S12000006,S12000029,56,46,11,42,-45,-10,-14,155,51.9,4.1,0.57
S12000006,S12000030,5,4,0,8,-5,-1,3,17,5.7,-0.7,-0.29
S12000006,S12000033,14,16,12,0,-2,2,-14,42,14.1,-0.1,-0.02
S12000006,S12000034,7,5,0,0,-7,-2,-7,12,4.0,3.0,1.49
S12000006,S12000035,18,0,3,0,-15,-18,-18,21,7.0,11.0,4.14
S12000006,S12000036,73,18,42,42,-31,-55,-31,175,58.6,14.4,1.88
S12000006,S12000038,12,16,6,8,-6,4,-4,42,14.1,-2.1,-0.55
S12000006,S12000039,5,0,0,0,-5,-5,-5,5,1.7,3.3,2.57
S12000006,S12000040,11,6,0,8,-11,-5,-3,25,8.4,2.6,0.91
S12000006,S12000044,50,16,10,9,-40,-34,-41,85,28.5,21.5,4.04
S12000006,S12000045,7,0,0,4,-7,-7,-3,11,3.7,3.3,1.73
S12000006,S12000046,80,41,42,75,-38,-39,-5,238,79.7,0.3,0.03
S12000008,S12000005,0,8,0,0,0,8,0,8,2.7,-2.7,-1.64
S12000008,S12000006,49,170,11,89,-38,121,40,319,106.8,-57.8,-5.59
S12000008,S12000008,9374,4717,2434,7984,-6940,-4657,-1390,24509,8206.6,1167.4,12.89
S12000008,S12000011,182,84,73,170,-109,-98,-12,509,170.4,11.6,0.89
S12000008,S12000014,10,31,5,4,-5,21,-6,50,16.7,-6.7,-1.65
S12000008,S12000015,17,9,5,6,-12,-8,-11,37,12.4,4.6,1.31
S12000008,S12000017,6,0,0,0,-6,-6,-6,6,2.0,4.0,2.82
S12000008,S12000018,24,12,16,24,-8,-12,0,76,25.4,-1.4,-0.29
S12000008,S12000019,20,4,0,0,-20,-16,-20,24,8.0,12.0,4.22
S12000008,S12000020,6,0,0,0,-6,-6,-6,6,2.0,4.0,2.82
S12000008,S12000021,999,719,296,913,-703,-280,-86,2927,980.1,18.9,0.60
S12000008,S12000024,3,0,3,5,0,-3,2,11,3.7,-0.7,-0.36
S12000008,S12000026,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000008,S12000028,3039,1633,652,2445,-2387,-1406,-594,7769,2601.4,437.6,8.58
S12000008,S12000029,488,368,215,274,-273,-120,-214,1345,450.4,37.6,1.77
S12000008,S12000030,9,8,6,13,-3,-1,4,36,12.1,-3.1,-0.88
S12000008,S12000033,12,17,7,5,-5,5,-7,41,13.7,-1.7,-0.47
S12000008,S12000034,5,0,0,0,-5,-5,-5,5,1.7,3.3,2.57
S12000008,S12000035,45,6,9,10,-36,-39,-35,70,23.4,21.6,4.45
S12000008,S12000036,29,18,41,21,12,-11,-8,109,36.5,-7.5,-1.24
S12000008,S12000038,410,373,167,290,-243,-37,-120,1240,415.2,-5.2,-0.26
S12000008,S12000039,33,13,21,15,-12,-20,-18,82,27.5,5.5,1.06
S12000008,S12000040,17,31,20,15,3,14,-2,83,27.8,-10.8,-2.05
S12000008,S12000041,0,7,0,0,0,7,0,7,2.3,-2.3,-1.53
S12000008,S12000044,132,156,64,97,-68,24,-35,449,150.3,-18.3,-1.50
S12000008,S12000045,18,18,10,19,-8,0,1,65,21.8,-3.8,-0.81
S12000008,S12000046,1773,670,1474,1383,-299,-1103,-390,5300,1774.7,-1.7,-0.04
S12000010,S12000005,0,5,0,0,0,5,0,5,1.7,-1.7,-1.29
S12000010,S12000010,5939,2623,1662,6557,-4277,-3316,618,16781,5619.0,320.0,4.27
S12000010,S12000014,27,24,13,13,-14,-3,-14,77,25.8,1.2,0.24
S12000010,S12000015,52,62,31,43,-21,10,-9,188,63.0,-11.0,-1.38
S12000010,S12000017,6,0,3,8,-3,-6,2,17,5.7,0.3,0.13
S12000010,S12000018,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000010,S12000019,704,379,295,672,-409,-325,-32,2050,686.4,17.6,0.67
S12000010,S12000020,0,3,0,4,0,3,4,7,2.3,-2.3,-1.53
S12000010,S12000021,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000010,S12000024,10,6,4,6,-6,-4,-4,26,8.7,1.3,0.44
