source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp
S12000005,S12000005,2650,2016,665,3284,-1985,-634,634
S12000005,S12000010,5,3,0,6,-5,-2,1
S12000005,S12000014,661,370,184,519,-477,-291,-142
S12000005,S12000015,357,209,132,245,-225,-148,-112
S12000005,S12000017,5,5,0,3,-5,0,-2
S12000005,S12000019,14,3,13,9,-1,-11,-5
S12000005,S12000021,0,0,3,0,3,0,0
S12000005,S12000024,117,70,21,158,-96,-47,41
S12000005,S12000027,0,5,0,0,0,5,0
S12000005,S12000028,6,0,0,0,-6,-6,-6
S12000005,S12000029,31,43,13,12,-18,12,-19
S12000005,S12000030,1817,785,939,2144,-878,-1032,327
S12000005,S12000033,4,10,13,5,9,6,1
S12000005,S12000034,3,0,4,6,1,-3,3
S12000005,S12000035,41,5,6,0,-35,-36,-41
S12000005,S12000036,213,105,255,135,42,-108,-78
S12000005,S12000038,15,21,14,7,-1,6,-8
S12000005,S12000039,16,6,0,0,-16,-10,-16
S12000005,S12000040,75,83,56,73,-19,8,-2
S12000005,S12000041,7,3,0,4,-7,-4,-3
S12000005,S12000042,17,13,11,17,-6,-4,0
S12000005,S12000044,97,106,30,80,-67,9,-17
S12000005,S12000045,10,10,8,7,-2,0,-3
S12000005,S12000046,157,98,160,126,3,-59,-31
S12000006,S12000005,0,3,0,0,0,3,0
S12000006,S12000006,18076,8458,4278,17234,-13798,-9618,-842
S12000006,S12000008,58,108,12,35,-46,50,-23
S12000006,S12000010,0,0,5,3,5,0,3
S12000006,S12000014,7,0,0,0,-7,-7,-7
S12000006,S12000015,22,0,3,0,-19,-22,-22
S12000006,S12000017,13,0,0,9,-13,-13,-4
S12000006,S12000018,3,0,0,3,-3,-3,0
S12000006,S12000019,12,4,0,0,-12,-8,-12
S12000006,S12000020,3,0,0,0,-3,-3,-3
S12000006,S12000021,20,16,5,33,-15,-4,13
S12000006,S12000024,3,4,0,3,-3,1,0
S12000006,S12000026,30,29,7,36,-23,-1,6
S12000006,S12000028,72,51,11,61,-61,-21,-11
S12000006,S12000029,56,46,11,42,-45,-10,-14
S12000006,S12000030,5,4,0,8,-5,-1,3
S12000006,S12000033,14,16,12,0,-2,2,-14
S12000006,S12000034,7,5,0,0,-7,-2,-7
S12000006,S12000035,18,0,3,0,-15,-18,-18
S12000006,S12000036,73,18,42,42,-31,-55,-31
S12000006,S12000038,12,16,6,8,-6,4,-4
S12000006,S12000039,5,0,0,0,-5,-5,-5
S12000006,S12000040,11,6,0,8,-11,-5,-3
S12000006,S12000044,50,16,10,9,-40,-34,-41
S12000006,S12000045,7,0,0,4,-7,-7,-3
S12000006,S12000046,80,41,42,75,-38,-39,-5
S12000008,S12000005,0,8,0,0,0,8,0
S12000008,S12000006,49,170,11,89,-38,121,40
S12000008,S12000008,9374,4717,2434,7984,-6940,-4657,-1390
S12000008,S12000011,182,84,73,170,-109,-98,-12
S12000008,S12000014,10,31,5,4,-5,21,-6
S12000008,S12000015,17,9,5,6,-12,-8,-11
S12000008,S12000017,6,0,0,0,-6,-6,-6
S12000008,S12000018,24,12,16,24,-8,-12,0
S12000008,S12000019,20,4,0,0,-20,-16,-20
S12000008,S12000020,6,0,0,0,-6,-6,-6
S12000008,S12000021,999,719,296,913,-703,-280,-86
S12000008,S12000024,3,0,3,5,0,-3,2
S12000008,S12000026,4,0,0,0,-4,-4,-4
S12000008,S12000028,3039,1633,652,2445,-2387,-1406,-594
S12000008,S12000029,488,368,215,274,-273,-120,-214
S12000008,S12000030,9,8,6,13,-3,-1,4
S12000008,S12000033,12,17,7,5,-5,5,-7
S12000008,S12000034,5,0,0,0,-5,-5,-5
S12000008,S12000035,45,6,9,10,-36,-39,-35
S12000008,S12000036,29,18,41,21,12,-11,-8
S12000008,S12000038,410,373,167,290,-243,-37,-120
S12000008,S12000039,33,13,21,15,-12,-20,-18
S12000008,S12000040,17,31,20,15,3,14,-2
S12000008,S12000041,0,7,0,0,0,7,0
S12000008,S12000044,132,156,64,97,-68,24,-35
S12000008,S12000045,18,18,10,19,-8,0,1
S12000008,S12000046,1773,670,1474,1383,-299,-1103,-390
S12000010,S12000005,0,5,0,0,0,5,0
S12000010,S12000010,5939,2623,1662,6557,-4277,-3316,618
S12000010,S12000014,27,24,13,13,-14,-3,-14
S12000010,S12000015,52,62,31,43,-21,10,-9
S12000010,S12000017,6,0,3,8,-3,-6,2
S12000010,S12000018,3,0,0,0,-3,-3,-3
S12000010,S12000019,704,379,295,672,-409,-325,-32
S12000010,S12000020,0,3,0,4,0,3,4
S12000010,S12000021,0,6,0,0,0,6,0
S12000010,S12000024,10,6,4,6,-6,-4,-4
S12000010,S12000026,126,43,41,113,-85,-83,-13
S12000010,S12000028,3,0,0,0,-3,-3,-3
S12000010,S12000029,16,24,6,28,-10,8,12
S12000010,S12000030,9,7,17,30,8,-2,21
S12000010,S12000033,7,10,6,7,-1,3,0
S12000010,S12000034,4,4,0,0,-4,0,-4
S12000010,S12000035,7,0,0,0,-7,-7,-7
S12000010,S12000036,6154,1459,5371,4922,-783,-4695,-1232
S12000010,S12000038,9,5,0,0,-9,-4,-9
S12000010,S12000040,132,116,101,116,-31,-16,-16
S12000010,S12000041,4,3,0,0,-4,-1,-4
S12000010,S12000042,0,0,4,5,4,0,5
S12000010,S12000044,33,26,12,15,-21,-7,-18
