IZ_CODE,IZ_NAME,CouncilArea,NRSCouncil,cx,cy
S02000260,Auchinairn,S12000045,East Dunbartonshire,261644,669646
S02000261,Woodhill East,S12000045,East Dunbartonshire,262949,670041
S02000262,Woodhill West,S12000045,East Dunbartonshire,262130,670391
S02000263,Westerton East,S12000045,East Dunbartonshire,254577,670587
S02000264,Bishopbriggs West and Cadder,S12000045,East Dunbartonshire,261250,670929
S02000265,Westerton West,S12000045,East Dunbartonshire,253768,670975
S02000266,Kessington East,S12000045,East Dunbartonshire,255891,671136
S02000267,Lenzie South,S12000045,East Dunbartonshire,266134,671487
S02000268,Bishopbriggs North and Kenmure,S12000045,East Dunbartonshire,260220,671667
S02000269,Kessington West,S12000045,East Dunbartonshire,255040,671692
S02000270,Lenzie North,S12000045,East Dunbartonshire,263833,672281
S02000271,South Castlehill and Thorn,S12000045,East Dunbartonshire,252895,672372
S02000272,Kilmardinny West,S12000045,East Dunbartonshire,254284,672745
S02000273,Kilmardinny East,S12000045,East Dunbartonshire,255098,672942
S02000274,Rosebank and Waterside,S12000045,East Dunbartonshire,268800,672936
S02000275,Kirkintilloch South,S12000045,East Dunbartonshire,266076,672938
S02000276,North Castlehill and Thorn,S12000045,East Dunbartonshire,253533,673599
S02000277,Hillhead,S12000045,East Dunbartonshire,266399,673815
S02000278,Torrance and Balmore,S12000045,East Dunbartonshire,260775,674427
S02000279,Keystone and Dougalston,S12000045,East Dunbartonshire,257266,674428
S02000280,Harestanes,S12000045,East Dunbartonshire,266820,674509
S02000281,Kirkintilloch West,S12000045,East Dunbartonshire,265624,674637
S02000282,Barloch,S12000045,East Dunbartonshire,255795,674939
S02000283,Twechar and Harestanes East,S12000045,East Dunbartonshire,270039,675354
S02000284,East Clober and Mains Estate,S12000045,East Dunbartonshire,254925,675696
S02000285,West Clober and Mains Estate,S12000045,East Dunbartonshire,252147,676134
S02000286,Milton of Campsie,S12000045,East Dunbartonshire,266558,677104
S02000287,Lennoxtown,S12000045,East Dunbartonshire,261899,679622
S02000310,Eaglesham and Waterfoot,S12000011,East Renfrewshire,256396,649609
S02000311,Mearnskirk and South Kirkhill,S12000011,East Renfrewshire,250912,652900
S02000312,North Kirkhill,S12000011,East Renfrewshire,256171,655700
S02000313,"Mearns Village, Westacres and Greenfarm",S12000011,East Renfrewshire,253095,655990
S02000314,West Neilston and Uplawmoor,S12000011,East Renfrewshire,245536,656045
S02000315,Busby,S12000011,East Renfrewshire,258193,656392
S02000316,Whitecraigs and Broom,S12000011,East Renfrewshire,254963,656537
S02000317,Clarkston and Sheddens,S12000011,East Renfrewshire,256940,657042
S02000318,Crookfur and Fruin,S12000011,East Renfrewshire,252833,657058
S02000319,Williamwood,S12000011,East Renfrewshire,256278,657569
S02000320,Stamperland,S12000011,East Renfrewshire,257603,657882
S02000321,West Arthurlie and North Neilston,S12000011,East Renfrewshire,249451,658075
S02000322,Auchenback,S12000011,East Renfrewshire,251165,658175
S02000323,Lower Whitecraigs and South Giffnock,S12000011,East Renfrewshire,255986,658205
S02000324,South Thornliebank and Woodfarm,S12000011,East Renfrewshire,255180,659013
S02000325,Netherlee,S12000011,East Renfrewshire,257778,659032
S02000326,Merrylee and Braidbar,S12000011,East Renfrewshire,256833,659170
S02000327,North Giffnock and North Thornliebank,S12000011,East Renfrewshire,255918,659463
S02000328,"Dunterlie, East Arthurlie and Dovecothall",S12000011,East Renfrewshire,250699,659843
