lad17cd,lad17nm,cx,cy
S12000005,Clackmannanshire,291538,695953
S12000008,East Ayrshire,253876,624467
S12000010,East Lothian,354574,671565
S12000011,East Renfrewshire,251243,653894
S12000013,Na h-Eileanan Siar,126079,925104
S12000014,Falkirk,287614,679220
S12000006,Dumfries and Galloway,274463,577773
S12000015,Fife,330459,705129
S12000017,Highland,241140,858171
S12000018,Inverclyde,228525,670749
S12000019,Midlothian,329748,661150
S12000020,Moray,323513,844187
S12000021,North Ayrshire,229194,651054
S12000023,Orkney Islands,336664,1013618
S12000024,Perth and Kinross,287512,743022
S12000040,West Lothian,301455,667064
S12000026,Scottish Borders,349818,631748
S12000027,Shetland Islands,436220,1158484
S12000028,South Ayrshire,229826,601763
S12000038,Renfrewshire,240948,664304
S12000039,West Dunbartonshire,243650,680064
S12000029,South Lanarkshire,285631,637701
S12000030,Stirling,255534,707548
S12000033,Aberdeen City,389618,807854
S12000034,Aberdeenshire,361564,817234
S12000035,Argyll and Bute,199951,692400
S12000036,City of Edinburgh,319752,670857
S12000041,Angus,343195,759046
S12000042,Dundee City,340844,732132
S12000044,North Lanarkshire,277459,666649
S12000045,East Dunbartonshire,260184,675970
S12000046,Glasgow City,259332,667323
