regionCode,regionName,council,gridX,gridY
S02000260,Auchinairn,East Dunbartonshire,14,4
S02000261,Woodhill East,East Dunbartonshire,15,3
S02000262,Woodhill West,East Dunbartonshire,14,3
S02000263,Westerton East,East Dunbartonshire,10,3
S02000264,Bishopbriggs West and Cadder,East Dunbartonshire,14,2
S02000265,Westerton West,East Dunbartonshire,9,3
S02000266,Kessington East,East Dunbartonshire,11,3
S02000267,Lenzie South,East Dunbartonshire,16,3
S02000268,Bishopbriggs North and Kenmure,East Dunbartonshire,13,2
S02000269,Kessington West,East Dunbartonshire,11,2
S02000270,Lenzie North,East Dunbartonshire,14,1
S02000271,South Castlehill and Thorn,East Dunbartonshire,8,2
S02000272,Kilmardinny West,East Dunbartonshire,10,2
S02000273,Kilmardinny East,East Dunbartonshire,11,1
S02000274,Rosebank and Waterside,East Dunbartonshire,17,3
S02000275,Kirkintilloch South,East Dunbartonshire,15,2
S02000276,North Castlehill and Thorn,East Dunbartonshire,9,2
S02000277,Hillhead,East Dunbartonshire,16,2
S02000278,Torrance and Balmore,East Dunbartonshire,13,1
S02000279,Keystone and Dougalston,East Dunbartonshire,12,1
S02000280,Harestanes,East Dunbartonshire,16,1
S02000281,Kirkintilloch West,East Dunbartonshire,15,1
S02000282,Barloch,East Dunbartonshire,12,0
S02000283,Twechar and Harestanes East,East Dunbartonshire,17,2
S02000284,East Clober and Mains Estate,East Dunbartonshire,11,0
S02000285,West Clober and Mains Estate,East Dunbartonshire,10,1
S02000286,Milton of Campsie,East Dunbartonshire,14,0
S02000287,Lennoxtown,East Dunbartonshire,13,0
S02000310,Eaglesham and Waterfoot,East Renfrewshire,11,18
S02000311,Mearnskirk and South Kirkhill,East Renfrewshire,6,18
S02000312,North Kirkhill,East Renfrewshire,9,18
S02000313,"Mearns Village, Westacres and Greenfarm",East Renfrewshire,7,18
S02000314,West Neilston and Uplawmoor,East Renfrewshire,5,16
S02000315,Busby,East Renfrewshire,12,18
S02000316,Whitecraigs and Broom,East Renfrewshire,8,18
S02000317,Clarkston and Sheddens,East Renfrewshire,10,18
S02000318,Crookfur and Fruin,East Renfrewshire,7,17
S02000319,Williamwood,East Renfrewshire,10,17
